"","age","language","avgtemp","DEQ","ALEX1","ALEX2","ALEX3","ALEX4","ALEX5","ALEX6","ALEX7","ALEX8","ALEX9","ALEX10","ALEX11","ALEX12","ALEX13","ALEX14","ALEX15","ALEX16","ECR1","ECR2","ECR3","ECR4","ECR5","ECR6","ECR7","ECR8","ECR9","ECR10","ECR11","ECR12","ECR13","ECR14","ECR15","ECR16","ECR17","ECR18","ECR19","ECR20","ECR21","ECR22","ECR23","ECR24","ECR25","ECR26","ECR27","ECR28","ECR29","ECR30","ECR31","ECR32","ECR33","ECR34","ECR35","ECR36","HOME1","HOME2","HOME3","HOME4","HOME5","HOME6","HOME7","HOME8","HOME9","KAMF1","KAMF2","KAMF3","KAMF4","KAMF5","KAMF6","KAMF7","SNI1","SNI2","SNI3","SNI4","SNI5","SNI6","SNI7","SNI8","SNI9","SNI10","SNI11","SNI12","SNI13","SNI14","SNI15","SNI16","SNI17","SNI18","SNI19","SNI20","SNI21","SNI22","SNI23","SNI24","SNI25","SNI26","SNI27","SNI28","SNI29","SNI30","SNI31","SNI32","socialdiversity"
"22",1959,1,36,47.16610718,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,2,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,4,1,2,1,2,2,2,2,4,1,1,1,1,1,2,1,1,4,4,1,1,5,5,5,5,5,4,4,2,3,2,2,4,2,3,2,3,1,4,4,1,NA,2,2,6,5,8,5,2,1,1,NA,1,NA,NA,3,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"23",1959,1,36.2,49.89720154,5,5,2,5,5,5,5,4,2,5,4,2,2,2,5,2,7,7,6,6,6,7,6,6,7,5,6,5,4,4,6,4,5,1,5,3,6,3,5,4,2,4,3,3,4,4,5,4,6,6,4,4,3,2,2,3,3,3,3,4,4,5,8,7,7,8,8,8,4,4,2,2,2,1,NA,1,NA,2,2,1,NA,1,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"24",1959,1,36.25,50.51669312,2,2,3,2,4,2,3,1,1,3,2,3,1,1,2,3,7,4,1,4,5,6,1,5,7,1,1,5,4,1,5,5,2,1,1,2,4,1,4,1,2,2,2,1,1,1,1,1,6,4,1,2,5,4,5,5,5,4,5,5,4,4,6,5,5,2,2,4,1,3,3,4,4,2,2,8,4,3,1,2,1,1,NA,3,6,8,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"25",1959,1,36.6,48.76669312,1,1,1,2,4,1,1,2,2,1,1,2,1,2,3,2,2,1,1,2,6,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,5,1,1,1,5,5,4,5,5,5,4,5,5,5,6,3,2,2,2,2,1,3,3,1,NA,1,NA,4,2,6,5,1,NA,1,NA,3,1,8,3,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"26",1959,1,38.4,50.15739441,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,6,1,2,2,1,2,4,2,4,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,5,5,5,4,2,1,4,3,4,8,7,5,2,2,7,1,1,NA,2,2,2,2,1,NA,2,5,1,NA,1,NA,2,1,5,7,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"27",1960,1,36.05,51.17599487,2,2,3,2,2,2,2,1,2,1,2,2,2,2,3,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,4,1,1,6,2,7,2,4,1,2,2,7,7,1,2,4,4,4,4,4,2,1,1,1,5,7,6,6,6,6,6,1,1,NA,1,NA,3,1,1,NA,4,1,1,NA,1,NA,2,1,7,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"28",1960,5,36.15,51.75,3,1,1,1,1,3,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,4,1,7,7,1,7,1,1,1,7,1,1,1,1,7,6,7,1,1,1,7,7,7,7,7,7,1,7,7,7,7,5,1,5,3,1,5,5,5,1,3,4,1,2,2,2,2,4,2,2,1,NA,5,NA,1,NA,3,1,1,NA,2,1,3,1,8,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"29",1960,1,36.5,52.51669312,2,2,2,3,1,1,2,2,3,2,1,2,2,2,4,1,4,2,2,2,4,4,2,2,2,2,6,2,4,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,5,5,5,5,3,5,4,4,4,5,5,3,3,4,2,5,1,4,2,1,NA,1,NA,8,2,5,5,1,NA,1,NA,1,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"30",1961,8,36.5,38.71670532,1,1,1,2,2,1,1,2,2,1,1,3,1,3,2,3,1,1,1,1,1,1,1,2,1,1,1,5,2,5,1,5,2,1,2,4,7,1,2,2,2,4,4,1,4,3,1,1,7,6,4,1,5,5,5,5,5,5,3,4,3,4,5,7,2,2,2,3,1,3,3,2,2,4,1,8,3,8,3,1,NA,1,NA,1,NA,NA,4,2,3,2,"Livre",NA,NA,NA,NA,7,NA,NA,NA,NA,8
"31",1962,9,36.75,52.59309387,5,4,4,4,3,4,4,4,5,3,3,2,4,1,5,2,6,6,5,4,6,5,4,5,6,6,2,4,4,7,2,7,2,2,2,2,4,3,2,2,1,5,5,3,3,3,2,2,6,4,6,2,4,4,4,3,3,5,5,5,4,4,5,4,2,2,2,2,1,3,3,4,4,4,4,8,3,8,3,2,1,2,8,3,4,5,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"32",1963,5,36.45,51.75,1,4,1,1,2,2,2,1,3,1,1,3,3,1,2,3,4,4,4,4,4,4,4,4,5,4,3,4,4,6,4,7,4,4,5,6,4,4,4,6,7,4,4,3,4,5,4,6,4,4,5,4,5,5,5,5,5,3,3,3,1,5,6,6,5,5,5,5,4,2,2,1,NA,5,NA,8,2,8,4,1,NA,1,NA,3,1,8,1,1,NA,2,"Dance group",NA,NA,NA,NA,5,NA,NA,NA,NA,5
"33",1963,1,36.45,50.11669922,2,3,1,3,2,1,2,2,2,2,2,2,2,2,4,3,5,2,6,5,6,4,2,3,2,1,2,7,2,3,2,5,2,1,2,2,2,2,2,2,1,3,2,4,1,3,3,1,7,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,3,1,3,3,4,2,2,1,1,NA,4,2,2,1,1,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
