country,subj_id,gender,age,experimenter,location,target_cat,target_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response,comments
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,15,universal,smell things,"like when you can tell if something smells sweet, or rotten",yes,yes,1,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,16,universal,feel pain,like when something hurts you,kind of,kind of,0.5,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,17,universal,remember things,like when you remember something that happened before,kind of,kind of,0.5,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,18,universal,feel love,like when you really like somebody and care about them a lot,yes,yes,1,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,19,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,yes,yes,1,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,20,universal,sense when things are far away,like when you see that something is far away from you,kind of,kind of,0.5,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,21,universal,hear things,like when you hear a noise,yes,yes,1,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,22,universal,feel scared,like when you feel afraid,kind of,kind of,0.5,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,23,universal,feel proud,like when you feel really good about something you did,kind of,kind of,0.5,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,24,universal add-on,bleed if they touch something sharp,[NONE],yes,yes,1,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,25,universal add-on,have minds,[NONE],yes,yes,1,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,26,universal add-on,have souls,[NONE],no,no,0,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,1,universal,feel tired,like when you feel sleepy,no,no,0,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,2,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,3,universal,get angry,like when you feel mad,yes,yes,1,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,4,universal,feel proud,like when you feel really good about something you did,yes,yes,1,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,5,universal,"feel sick, like when you feel like you might vomit",[NONE],no,no,0,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,6,universal,feel sad,like when you feel bad or unhappy,no,no,0,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,7,universal,figure out how to do things,like when you learn a new fact or understand something new,yes,yes,1,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,8,universal,feel shy,like when you feel quiet or embarrassed,yes,yes,1,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,9,universal,feel scared,like when you feel afraid,yes,yes,1,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,10,universal,sense temperatures,like when you can tell if something is warm or cool,yes,yes,1,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,11,universal,remember things,like when you remember something that happened before,yes,yes,1,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,12,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,no,no,0,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,13,universal,sense when things are far away,like when you see that something is far away from you,yes,yes,1,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,14,universal,smell things,"like when you can tell if something smells sweet, or rotten",no,no,0,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,15,universal,pray,like when you pray,no,no,0,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,16,universal,hear things,like when you hear a noise,yes,yes,1,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,17,universal,get hungry,like when you feel like you need to eat something,yes,yes,1,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,18,universal,feel love,like when you really like somebody and care about them a lot,yes,yes,1,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,19,universal,feel guilty,like when you feel bad because you did something mean,no,no,0,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,20,universal,think about things,like when you have a thought or an idea about something,no,no,0,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,21,universal,feel pain,like when something hurts you,yes,yes,1,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,22,universal,feel happy,like when you feel good,yes,yes,1,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,23,universal,choose what to do,like when you decide between different things,yes,yes,1,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,24,universal add-on,have souls,[NONE],yes,yes,1,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,25,universal add-on,bleed if they touch something sharp,[NONE],yes,yes,1,NA
Thailand,th_adults_003_chickens,male,NA,PU,Arcade 3,universal,chickens,chickens,3,26,universal add-on,have minds,[NONE],yes,yes,1,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,1,universal,remember things,like when you remember something that happened before,yes,yes,1,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,2,universal,hear things,like when you hear a noise,yes,yes,1,They do hear
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,3,universal,think about things,like when you have a thought or an idea about something,no,no,0,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,4,universal,choose what to do,like when you decide between different things,yes,yes,1,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,5,universal,feel guilty,like when you feel bad because you did something mean,yes,yes,1,They do feel
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,6,universal,feel scared,like when you feel afraid,yes,yes,1,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,7,universal,feel shy,like when you feel quiet or embarrassed,yes,yes,1,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,8,universal,pray,like when you pray,yes,yes,1,They do pray
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,9,universal,feel proud,like when you feel really good about something you did,yes,yes,1,NA
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,10,universal,feel tired,like when you feel sleepy,no,no,0,They don't feel tired
Thailand,th_adults_004_children,female,26,PU,Arcade 3,universal,children,children,4,11,universal,feel sad,like when you feel bad or unhappy,kind of,kind of,0.5,NA
