"strata","Which_wave","ResponseId","Act3","ActiveBaseline","AffordSubsidiesEndline","Age","AgeChild1","AgeChild2","AgeChild3","AgeChild4","AgeChild5","AgeChild6","AgeChild7","AgeChild8","AppAssMat","AppCreche","Assignment","BabyFemale","CodePostalBaseline","ComputerYN","DeprivBills","DeprivBillsIrrelevant","DeprivClothes","DeprivClothesIrrelevant","DeprivFood","DeprivFoodIrrelevant","DeprivHolidays","DeprivHolidaysIrrelevant","DeprivHousing","DeprivHousingIrrelevant","Dep","Discount501or0","ECSApp","ECSPlanToBaseline","ECSUseYes","Educ","Educ2","FrenchYNBaseline","HighLowECECBaseline","HigherThanMeadianISEIFather","HigherThanMeadianISEIMother","HigherThanMeadianSESIndex","KnowsCreche","KnowsCrecheOnly","KnownNbTypeECS","LanguageBaseline","LevelComprehensionExPost","LikertAccessInfoBaseline","LikertAccessSoc","LikertReturnHK1or0","LikertReturnHKBaseline","MaternityWardBaseline","NormsBaseline","LevelInfoSubExPost","NUMCOMBaseline","NumberChildren","OrderedEduc.x","PregMonth","Primipare","Relationship","SingleMum","Suivi_administratif","Taux.de.couv.EAJE...ensemble","Taux.de.couv.assistantes.maternelles","Taux.de.couv.global","TAUXCOUV_COM","tauxcouv_com","nbr_city_baseline","latitude","longitude","UseCreche","UsedECEC","WorkBefore","WorkMotherReduced","WorkNoPlan","WorkPlanNotTo","WorkPlanTo","AccessEasyBaseline","AccessHoursBaseline","AccessInformalCareBaseline","Suivi_administratif1_0","TotalMinutes_AdminSupport","Responded","ResponseStatus","StrataWave","BirthPlace","BirthPlace2","AffordSubsidiesEndline1or0","T1","T2","InfoBaseline","HighEduc","DepCov","DepHighLow","HighLowCoverageGlobal","OrderedEduc","Date.référence","Nom.commune","Numéro.EPCI","Nom.EPCI","Numéro.Département","Nom.Département","Taux.de.couv.EAJE.PSU","Taux.de.couv.hors.EAJE.PSU","Taux.de.couv.EAJE...ensemble_2021","Taux.de.couv.préscolarisation","Taux.de.couv.assistantes.maternelles_2021","Taux.de.couv.salarié.à.domicile","Taux.de.couv.accueil.individuel...ensemble","Taux.de.couv.global_2021","NationalAvgTauxCouv2021","High_SES","NoMigrationBackground","HighCoverageBaseline","High_knowledge","HighCoverage_total","PresentOrientated","IntendUse","Income","FmlyIncome","NormsOpposedN","FmilyEarnLessThan2500","NumberOfChildren3","NormsOpposedYes","DescriptiveNorms","BabyBirthDate","TrustCreche1or0","BabyBornJanuary","AttitudesScore","AttitudeScoreMoreThanMedian","ECSNoECSAppAnswer","ECSIdealNotReason","ECSIdealNotReason_5_TEXT","ECSNoECSAppAnswer_simple","ECSNoECSAppAnswer_long","ECSIdealNotReason_recoded","ECSIdealNotReasonClean"
12,"Wave5","R_00MDjSX542zIvfj","Active","Active","Yes",30,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Control",TRUE,94600,"Oui","Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"94",1,1,TRUE,1,"Sup","High-SES","Abroad","Low ECEC covering",0,1,1,1,FALSE,2,"français","pas de doutes sur la compréhension des questions","Assez d’accord","Assez d’accord","Yes","Très d’accord","KB","Moitié moitié","Basique",94022,0,"Bac + 3",8,TRUE,"Couple cohabitant",FALSE,"No",24.4,16.9,44,41.6,44,24,48.764258643,2.417182182,0,"No",1,FALSE,FALSE,FALSE,TRUE,"très difficile","Oui","Oui, pour dépanner / très ponctuellement",0,NA,1,"Respondent",82,"MENA (Maghreb +Arabie saoudite, etc.)","MENA (Maghreb +Arabie saoudite, etc.)",1,0,0,"High knowledge",1,"Mid","Lower","Low coverage","Bac + 3",2021,"CHOISY LE ROI",200054781,"METROPOLE DU GRAND PARIS",94,"VAL DE MARNE",21.6,2.8,24.4,1.8,16.9,0.9,17.8,44,59.1,1,0,0,1,0,1,"Intend and has never used ECEC","1000-1500","1000-1500",2,"Yes","0","Yes","No",2022-12-24,"Yes","Before January",1,"Yes",NA,NA,NA,NA,NA,NA,NA
2,"Wave3","R_01McPMnHGEZp4a3","Active","Active","Yes",36,10,5,3,3,NA,NA,NA,NA,0,1,"T1",TRUE,94800,"Oui","Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Un peu",FALSE,"Pas du tout",FALSE,"94",1,1,TRUE,0,"Bac","Low-SES","Abroad","High ECEC covering",0,0,0,1,FALSE,2,"français","pas de doutes sur la compréhension des questions","Assez d’accord","Très d’accord","Yes","Très d’accord","KB","La plupart","Bonne",94076,4,"Bac",5,FALSE,"Couple cohabitant",FALSE,"No",33.9,14.4,54.6,52.6,54.6,55,48.792392355,2.35987795,0,"Yes",1,NA,FALSE,FALSE,TRUE,"assez difficile","Oui","Non",0,NA,1,"Respondent",10,"Europe/Amérique du Nord, Australie","Europe/Amérique du Nord, Australie",1,1,0,"High knowledge",0,"Mid","Lower","High coverage","Bac",2021,"VILLEJUIF",200054781,"METROPOLE DU GRAND PARIS",94,"VAL DE MARNE",31.9,2.1,33.9,3.7,14.4,2.6,17,54.6,59.1,0,0,1,1,1,1,"Intend and already has used ECEC","1000-1500","2500-3000",0,"No","2 or more","No","Yes",2023-02-03,"Yes","After January",1,"Yes","Oui, on a été rejetés","Je n’ai pas eu de place dans le mode de garde que je préférais.",NA,"Rejected","Rejected",NA,"Je n’ai pas eu de place dans le mode de garde que je préférais.,Rejected"
11,"Wave4","R_02LXthCR2qGkphW","Active","Active","Yes",29,3,NA,NA,NA,NA,NA,NA,NA,1,1,"T1",FALSE,93600,"Oui","Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"93",0,1,TRUE,1,"Sup","High-SES","France","Low ECEC covering",1,1,1,1,FALSE,2,"français","pas de doutes sur la compréhension des questions","Assez d’accord","Très d’accord","Yes","Assez d’accord","Debré","Toutes","Excellente",93005,1,"Bac + 4/5",4,FALSE,"Couple cohabitant",FALSE,"No",19.1,7.6,29.8,28.8,29.8,6,48.945834186,2.493478267,1,"Yes",1,FALSE,FALSE,FALSE,TRUE,"assez difficile","Oui","Oui, de temps en temps",0,NA,1,"Respondent",74,"En France métropolitaine","En France métropolitaine",1,1,0,"High knowledge",1,"Low","Lower","Low coverage","Bac + 4/5",2021,"AULNAY SOUS BOIS",200054781,"METROPOLE DU GRAND PARIS",93,"SEINE SAINT DENIS",18.6,0.5,19.1,2.6,7.6,0.4,8,29.8,59.1,1,1,0,1,0,0,"Intend and already has used ECEC","2500-3000","6000-7000",0,"No","1","No","Yes",2023-05-03,"Yes","After January",1,"Yes",NA,NA,NA,NA,NA,NA,NA
9,"Wave5","R_02MSehMcKCQYdrZ","Active","Active",NA,26,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"T2",NA,93150,"Oui","Beaucoup",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Beaucoup",FALSE,"Pas du tout",FALSE,"93",1,NA,TRUE,NA,"Bac","Low-SES","France","Low ECEC covering",NA,NA,NA,1,FALSE,3,"français","pas de doutes sur la compréhension des questions","Très d’accord","Très d’accord","No","Assez en désaccord","Tenon","La plupart","Bonne",93007,0,"CAP",5,TRUE,"Couple non cohabitant",FALSE,"Yes",12.5,4.8,18.3,15.9,18.3,9,48.939482289,2.461086127,0,"No",1,NA,FALSE,FALSE,TRUE,"très difficile","Oui","Oui, autant que nécessaire",1,6,0,NA,61,"En France métropolitaine","Afrique subsaharienne",NA,0,1,"High knowledge",0,"Low","Lower","Low coverage","CAP",2021,"LE BLANC MESNIL",200054781,"METROPOLE DU GRAND PARIS",93,"SEINE SAINT DENIS",12.1,0.4,12.5,0.5,4.8,0.5,5.3,18.3,59.1,0,1,0,1,0,1,"Intend and has never used ECEC","1000-1500","2000-2500",2,"Yes","0","Yes","Yes",NA,"No","Don't know",0,"No",NA,NA,NA,NA,NA,NA,NA
12,"Wave1","R_02y8bFJxKU3kHzU","Active","Active","Yes",43,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Control",FALSE,75019,"Oui","Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"75",0,1,TRUE,1,"Sup","High-SES","Abroad","Low ECEC covering",NA,1,1,1,FALSE,1,"français","pas de doutes sur la compréhension des questions","Très en désaccord","Très d’accord","Yes","Assez d’accord","Necker","La plupart","Basique",75119,0,"Bac + 3",6,TRUE,"Couple non cohabitant",FALSE,"No",54.4,3.5,67.7,67.5,60.6,133,48.819430023,2.609262864,0,"No",1,TRUE,FALSE,FALSE,TRUE,"très difficile","Oui","Oui, pour dépanner / très ponctuellement",0,NA,1,"Respondent",78,"Afrique subsaharienne","Amérique Latine (à partir du Mexique)",1,0,0,"High knowledge",1,"High","Higher","High coverage","Bac + 3",2021,"PARIS 19E ARRONDISSEMENT",200054781,"METROPOLE DU GRAND PARIS",75,"PARIS",54,0.4,54.4,1.8,3.5,8,11.5,67.7,59.1,1,0,0,1,1,0,"Intend and has never used ECEC","2500-3000","+8000",0,"No","0","No","Yes",2022-12-26,"Yes","Before January",1,"Yes",NA,"Autre raison.","bébé sur liste d'attente",NA,NA,"Still waiting/No Answer","Still waiting/No Answer"
6,"Wave6","R_03chXmCFWb5oJLT","Active","Active",NA,30,12,5,3,1,NA,NA,NA,NA,0,0,"Control",NA,94550,"Oui","Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Un peu",FALSE,"Pas du tout",FALSE,"94",0,NA,TRUE,NA,"Sup","High-SES","Abroad","High ECEC covering",NA,NA,NA,1,TRUE,1,"français","pas de doutes sur la compréhension des questions","Assez d’accord","Très d’accord","No","Très en désaccord","KB","Une minorité","Basique",94021,4,"Bac +2",6,FALSE,"Couple cohabitant",FALSE,"No",37.9,17.1,56.4,52.6,56.3,18,48.76689918,2.352941911,0,"No",1,NA,FALSE,FALSE,TRUE,"très difficile","Oui","Oui, pour dépanner / très ponctuellement",0,NA,0,NA,41,"Afrique subsaharienne","Afrique subsaharienne",NA,0,0,"High knowledge",1,"Mid","Lower","High coverage","Bac +2",2021,"CHEVILLY LARUE",200054781,"METROPOLE DU GRAND PARIS",94,"VAL DE MARNE",36.6,1.4,37.9,0.1,17.1,1.2,18.3,56.4,59.1,1,0,1,1,1,0,"Intend and has never used ECEC","1000-1500","1500-2000",0,"Yes","2 or more","No","No",NA,"Yes","Don't know",0.5,"No",NA,NA,NA,NA,NA,NA,NA
5,"Wave4","R_03lTVRdiBOrhpdX","Active","Active","Yes",40,25,NA,NA,NA,NA,NA,NA,NA,0,1,"Control",TRUE,94430,"Oui","Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"94",0,1,TRUE,1,"Sup","High-SES","France","High ECEC covering",1,1,1,1,FALSE,1,"français","pas de doutes sur la compréhension des questions","Très d’accord","Très d’accord","Yes","Très d’accord","Debré","La plupart","Excellente",94019,1,"Bac + 4/5",6,FALSE,"Couple cohabitant",FALSE,"No",53,16.5,72,49.8,71.9,5,48.797651232,2.541482148,0,"Yes",1,NA,FALSE,FALSE,TRUE,"assez facile","Oui","Non",0,NA,1,"Respondent",32,"En France métropolitaine","MENA (Maghreb +Arabie saoudite, etc.)",1,0,0,"High knowledge",1,"Mid","Lower","Low coverage","Bac + 4/5",2021,"CHENNEVIERES SUR MARNE",200054781,"METROPOLE DU GRAND PARIS",94,"VAL DE MARNE",51.8,1.2,53,0,16.5,2.4,18.9,72,59.1,1,1,1,1,0,0,"Intend and already has used ECEC","3000-4500","3000-4500",0,"No","1","No","Yes",2023-02-12,"Yes","After January",1,"Yes",NA,NA,NA,NA,NA,NA,NA
6,"Wave5","R_04LPAZRHILaxL5f","Active","Active","No_NSP",44,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"T2",TRUE,94320,"Oui","Pas du tout",FALSE,"Un peu",FALSE,"Pas du tout",FALSE,"Un peu",FALSE,"Pas du tout",FALSE,"94",1,0,TRUE,0,"Sup","High-SES","Abroad","High ECEC covering",1,1,1,1,TRUE,1,"français","pas de doutes sur la compréhension des questions","Assez en désaccord","Assez d’accord","Yes","Assez d’accord","KB","Toutes","Basique",94073,0,"Bac + 4/5",8,TRUE,"Couple cohabitant",FALSE,"No",31.3,14.1,47.4,52.4,47.4,25,48.760790808,2.385495992,0,"No",0,NA,FALSE,FALSE,TRUE,"assez difficile","Oui","Non",0,0,1,"Respondent",40,"Amérique Latine (à partir du Mexique)","En France métropolitaine",0,0,1,"High knowledge",1,"Mid","Lower","Low coverage","Bac + 4/5",2021,"THIAIS",200054781,"METROPOLE DU GRAND PARIS",94,"VAL DE MARNE",26.1,5.1,31.3,0.8,14.1,1.2,15.3,47.4,59.1,1,0,1,1,0,1,"Intend and has never used ECEC","- 500","2500-3000",0,"No","0","No","Yes",2022-11-25,"Yes","Before January",1,"Yes",NA,NA,NA,NA,NA,NA,NA
11,"Wave3","R_04V9jWY9nIMk8hn","Inactive","Inactive","Yes",33,2,NA,NA,NA,NA,NA,NA,NA,0,0,"T1",FALSE,94450,"Oui","Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Un peu",FALSE,"Pas du tout",FALSE,"94",1,0,TRUE,0,"Sup","High-SES","Abroad","Low ECEC covering",0,1,1,1,FALSE,1,"français","pas de doutes sur la compréhension des questions","Très d’accord","Très d’accord","No","Très en désaccord","Créteil","Aucune","Basique",94044,1,"Bac + 4/5",6,FALSE,"Couple cohabitant",FALSE,"No",20.1,15.3,37.6,38.2,37.6,22,48.745502894,2.489056972,0,"Yes",0,NA,FALSE,FALSE,TRUE,"assez difficile","Non","Non",0,NA,1,"Respondent",73,"MENA (Maghreb +Arabie saoudite, etc.)","MENA (Maghreb +Arabie saoudite, etc.)",1,1,0,"High knowledge",1,"Mid","Lower","Low coverage","Bac + 4/5",2021,"LIMEIL BREVANNES",200054781,"METROPOLE DU GRAND PARIS",94,"VAL DE MARNE",18.7,1.4,20.1,1.2,15.3,1,16.3,37.6,59.1,1,0,0,1,0,1,"Intend and already has used ECEC","- 500","1000-1500",5,"Yes","1","Yes","No",2022-12-16,"Yes","Before January",0.5,"No",NA,NA,NA,NA,NA,NA,NA
8,"Wave6","R_05gbOwKQQvuY6P8","Active","Active","Yes",47,3,2,NA,NA,NA,NA,NA,NA,0,0,"T1",FALSE,93200,"Oui","Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Un peu",FALSE,"Pas du tout",FALSE,"93",1,1,TRUE,1,"Bac","Low-SES","Abroad","Low ECEC covering",0,0,0,1,FALSE,2,"français","pas de doutes sur la compréhension des questions","Très d’accord","Très d’accord","Yes","Très d’accord","Bichat","La plupart","Bonne",93066,2,"Bac",7,FALSE,"Couple cohabitant",FALSE,"No",18.9,9.5,32.3,30.5,32.3,21,48.929643578,2.359289324,0,"Yes",1,TRUE,FALSE,FALSE,TRUE,"assez difficile","Non, mais on prendra un autre mode de garde en plus","Non",0,NA,1,"Respondent",55,"Afrique subsaharienne","En France métropolitaine",1,1,0,"High knowledge",0,"Low","Lower","Low coverage","Bac",2021,"SAINT DENIS",200054781,"METROPOLE DU GRAND PARIS",93,"SEINE SAINT DENIS",18.1,0.8,18.9,2.9,9.5,0.9,10.5,32.3,59.1,0,0,0,1,0,1,"Intend and already has used ECEC","700-1000","2500-3000",0,"No","2 or more","No","Yes",2022-12-21,"Yes","Before January",1,"Yes",NA,NA,NA,NA,NA,NA,NA
1,"Wave2","R_06HW4ojdU1foXkN","Inactive","Inactive","Yes",34,6,NA,NA,NA,NA,NA,NA,NA,0,0,"T2",TRUE,75012,"Oui","Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Un peu",FALSE,"Pas du tout",FALSE,"75",0,0,FALSE,0,"Bac","Low-SES","Abroad","High ECEC covering",1,0,1,1,FALSE,2,"français","pas de doutes sur la compréhension des questions","Assez en désaccord","Très en désaccord","No","Je ne sais pas","Trousseau","La plupart","Basique",75112,1,"Brevet",7,FALSE,"Couple cohabitant",FALSE,"No",67.6,8.3,85.5,83.3,74.9,56,48.828424546,2.362253766,0,"Yes",0,NA,FALSE,FALSE,TRUE,"très difficile","Oui","Non",0,0,1,"Respondent",2,"Asie (hors MENA)","En France métropolitaine",1,0,1,"High knowledge",0,"High","Higher","High coverage","Brevet",2021,"PARIS 12E ARRONDISSEMENT",200054781,"METROPOLE DU GRAND PARIS",75,"PARIS",61.5,6,67.6,0.4,8.3,9.2,17.5,85.5,59.1,0,0,1,1,1,0,"Else","- 500","5000-6000",NA,"No","1","No","Yes",2022-11-24,"Yes","Before January",0.5,"No",NA,"Autre raison.","Son partenaire",NA,NA,"Father's disagreed","Father's disagreed"
5,"Wave4","R_06t15IJhHw3UpQP","Active","Active","Yes",31,3,NA,NA,NA,NA,NA,NA,NA,0,1,"Control",FALSE,94410,"Oui","Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Un peu",FALSE,"Pas du tout",FALSE,"94",0,1,TRUE,1,"Sup","High-SES","France","High ECEC covering",1,1,1,1,FALSE,3,"français","pas de doutes sur la compréhension des questions","Je ne sais pas","Assez d’accord","Yes","Très d’accord","Debré","Toutes","Excellente",94069,1,"Bac + 4/5",8,FALSE,"Couple cohabitant",FALSE,"No",41.2,11,61,59.8,61,2,48.818390376,2.437334691,0,"Yes",1,FALSE,FALSE,FALSE,TRUE,"très difficile","Oui","Oui, de temps en temps",0,NA,1,"Respondent",32,"En France métropolitaine","En France métropolitaine",1,0,0,"High knowledge",1,"Mid","Lower","High coverage","Bac + 4/5",2021,"SAINT MAURICE",200054781,"METROPOLE DU GRAND PARIS",94,"VAL DE MARNE",38,3.3,41.2,0,11,8.8,19.8,61,59.1,1,1,1,1,1,0,"Intend and already has used ECEC","1500-2000","Ne veut pas répondre",0,"No","1","No","Yes",2022-12-15,"Yes","Before January",1,"Yes",NA,NA,NA,NA,NA,NA,NA
6,"Wave4","R_07jfH8W7xL4R0id","Active","Active","Yes",30,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"T2",FALSE,93400,"Non","Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Beaucoup",FALSE,"93",0,1,TRUE,1,"Sup","High-SES","Abroad","High ECEC covering",NA,0,0,1,FALSE,2,"français","pas de doutes sur la compréhension des questions","Assez d’accord","Assez d’accord","No","Je ne sais pas","Debré","La plupart","Aucun ou très bas",93070,0,"Bac +2",7,TRUE,"Famille monoparentale",TRUE,"Yes",23.7,14.6,46.7,42.5,46.7,44,48.90958922,2.333479974,1,"No",1,TRUE,FALSE,FALSE,TRUE,"assez difficile","Non, mais on prendra un autre mode de garde en plus","Oui, pour dépanner / très ponctuellement",1,57,1,"Respondent",39,"Afrique subsaharienne",NA,1,0,1,"Low knowledge",1,"Low","Lower","Low coverage","Bac +2",2021,"SAINT OUEN SUR SEINE",200054781,"METROPOLE DU GRAND PARIS",93,"SEINE SAINT DENIS",21.1,2.6,23.7,1.7,14.6,6.6,21.3,46.7,59.1,1,0,1,0,0,0,"Intend and has never used ECEC","1000-1500",NA,6,NA,"0","Yes","Yes",2023-01-17,"No","After January",0,"No",NA,NA,NA,NA,NA,NA,NA
11,"Wave6","R_08UahCQ5NPXZTrs","Active","Active",NA,35,5,NA,NA,NA,NA,NA,NA,NA,0,0,"T2",NA,94470,"Oui","Un peu",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Beaucoup",FALSE,"Pas du tout",FALSE,"94",1,NA,TRUE,NA,"Sup","High-SES","France","Low ECEC covering",NA,NA,NA,1,FALSE,3,"français","pas de doutes sur la compréhension des questions","Assez d’accord","Assez en désaccord","No","Assez en désaccord","Créteil","La plupart","Basique",94004,1,"Bac + 4/5",5,FALSE,"Couple cohabitant",FALSE,"Yes",27.5,20.5,48.4,43.3,48.3,7,48.747047399,2.525046124,0,"Yes",1,NA,FALSE,FALSE,TRUE,"très difficile","Je ne sais pas encore","Non",1,30,0,NA,76,"En France métropolitaine","Europe/Amérique du Nord, Australie",NA,0,1,"High knowledge",1,"Mid","Lower","Low coverage","Bac + 4/5",2021,"BOISSY SAINT LEGER",200054781,"METROPOLE DU GRAND PARIS",94,"VAL DE MARNE",24.7,2.8,27.5,0,20.5,0.4,20.9,48.4,59.1,1,1,0,1,0,1,"Intend and already has used ECEC","3000-4500","4500-5000",2,"No","1","Yes","Yes",NA,"Yes","Don't know",0.5,"No",NA,NA,NA,NA,NA,NA,NA
8,"Wave5","R_08vrFCcF43nsZbQ","Active","Active","Yes",33,5,3,2,NA,NA,NA,NA,NA,0,0,"T2",TRUE,93000,"Oui","Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Je ne souhaite pas répondre",FALSE,"Pas du tout",FALSE,"93",0,1,TRUE,1,"Bac","Low-SES","Abroad","Low ECEC covering",1,0,1,1,TRUE,1,"français","pas de doutes sur la compréhension des questions","Assez d’accord","Assez en désaccord","Yes","Très d’accord","Debré","Ne sait pas","Bonne",93008,3,"Bac",7,FALSE,"Couple cohabitant",FALSE,"Yes",22.7,4.6,31,26.6,31,19,48.907435801,2.439842933,0,"Yes",1,FALSE,FALSE,FALSE,TRUE,"je ne sais pas","Oui","Non",1,14,1,"Respondent",54,"Afrique subsaharienne","Afrique subsaharienne",1,0,1,"High knowledge",0,"Low","Lower","Low coverage","Bac",2021,"BOBIGNY",200054781,"METROPOLE DU GRAND PARIS",93,"SEINE SAINT DENIS",22.6,0.1,22.7,3.1,4.6,0.6,5.2,31,59.1,0,0,0,1,0,0,"Intend and already has used ECEC","1500-2000","3000-4500",0,"No","2 or more","No","No",2023-01-24,"No","After January",0.5,"No",NA,NA,NA,NA,NA,NA,NA
11,"Wave7","R_09fVZ1vopP5SwLq","Active","Active","Yes",34,7,NA,NA,NA,NA,NA,NA,NA,0,1,"Control",FALSE,75020,"Oui","Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"75",0,1,TRUE,1,"Sup","High-SES","France","Low ECEC covering",1,1,1,1,FALSE,5,"français","pas de doutes sur la compréhension des questions","Très d’accord","Très d’accord","Yes","Très d’accord","Tenon","Toutes","Excellente",75120,1,"Bac + 4/5",7,FALSE,"Couple cohabitant",FALSE,"No",53,5.9,65.4,63.8,65.4,171,48.863457789,2.401155799,0,"Yes",1,TRUE,FALSE,FALSE,TRUE,"assez difficile","Oui","Non",0,NA,1,"Respondent",77,"En France métropolitaine","Europe/Amérique du Nord, Australie",1,0,0,"High knowledge",1,"High","Higher","High coverage","Bac + 4/5",2021,"PARIS 20E ARRONDISSEMENT",200054781,"METROPOLE DU GRAND PARIS",75,"PARIS",51,1.9,53,1.1,5.9,5.5,11.3,65.4,59.1,1,1,0,1,1,0,"Intend and already has used ECEC","3000-4500","7000-8000",0,"No","1","No","Yes",2022-12-14,"Yes","Before January",1,"Yes",NA,"Je n’ai pas eu de place dans le mode de garde que je préférais.",NA,NA,NA,NA,"Je n’ai pas eu de place dans le mode de garde que je préférais."
12,"Wave1","R_0axCrTRqsYgae1T","Active","Active","Yes",37,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Control",TRUE,93320,"Oui","Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"93",0,1,TRUE,0,"Sup","High-SES","France","Low ECEC covering",0,1,1,1,FALSE,2,"français","pas de doutes sur la compréhension des questions","Assez d’accord","Très en désaccord","Yes","Assez d’accord","Tenon","Moitié moitié","Basique",93057,0,"Bac + 3",5,TRUE,"Couple cohabitant",FALSE,"No",22.1,9.3,34.8,29.7,34.9,8,48.908338487,2.503357206,0,"No",1,FALSE,FALSE,FALSE,TRUE,"très difficile","Oui","Oui, autant que nécessaire",0,NA,1,"Respondent",78,"En France métropolitaine","En France métropolitaine",1,0,0,"High knowledge",1,"Low","Lower","Low coverage","Bac + 3",2021,"LES PAVILLONS SOUS BOIS",200054781,"METROPOLE DU GRAND PARIS",93,"SEINE SAINT DENIS",20.9,1.2,22.1,1.4,9.3,2.1,11.4,34.8,59.1,1,1,0,1,0,0,"Intend and has never used ECEC","3000-4500","5000-6000",2,"No","0","Yes","No",2023-02-15,"Yes","After January",1,"Yes","Oui,  on été acceptés dans au moins 1 mais on a refusé (à cause d'un problème, etc.)","Autre raison.","N'a pas aimé la crèche dans laquelle a eu une place donc réessaiera bientôt","Other","Declined because inadequate","Inadequate","Inadequate,Declined because inadequate"
3,"Wave5","R_0B0585ls4dwI7rb","Active","Active","Yes",29,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"T1",FALSE,93310,"Oui","Beaucoup",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Beaucoup",FALSE,"93",0,1,TRUE,1,"Bac","Low-SES","Abroad","High ECEC covering",0,0,0,1,FALSE,2,"français","pas de doutes sur la compréhension des questions","Assez d’accord","Assez d’accord","Yes","Très d’accord","Debré","La plupart","Bonne",93061,0,"CAP",8,TRUE,"Couple cohabitant",FALSE,"No",29.6,18.7,52.6,48.9,52.6,15,48.884753073,2.405680234,0,"No",1,NA,FALSE,FALSE,TRUE,"assez difficile","Oui","Non",0,NA,1,"Respondent",19,"Afrique subsaharienne","Afrique subsaharienne",1,1,0,"High knowledge",0,"Low","Lower","Low coverage","CAP",2021,"LE PRE SAINT GERVAIS",200054781,"METROPOLE DU GRAND PARIS",93,"SEINE SAINT DENIS",28.6,1,29.6,0.9,18.7,3.4,22.1,52.6,59.1,0,0,1,1,0,0,"Intend and has never used ECEC","1000-1500","2000-2500",5,"Yes","0","Yes","Yes",2022-12-21,"Yes","Before January",1,"Yes",NA,"Je n’ai pas eu de place dans le mode de garde que je préférais.",NA,NA,NA,NA,"Je n’ai pas eu de place dans le mode de garde que je préférais."
11,"Wave3","R_0bZIjgv9rr1MiR1","Active","Active",NA,34,6,5,3,NA,NA,NA,NA,NA,0,0,"T2",NA,94000,"Oui","Un peu",FALSE,"Pas du tout",FALSE,"Pas du tout",FALSE,"Beaucoup",FALSE,"Un peu",FALSE,"94",0,NA,TRUE,NA,"Sup","High-SES","Abroad","Low ECEC covering",NA,NA,NA,1,FALSE,1,"français","pas de doutes sur la compréhension des questions","Très d’accord","Très d’accord","No","Très en désaccord","Créteil","Ne sait pas","Basique",94028,3,"Bac + 3",5,FALSE,"Couple cohabitant",FALSE,"No",36.9,7.7,49.4,48.4,49.3,87,48.783768446,2.454728618,0,"Yes",1,NA,FALSE,FALSE,TRUE,"assez difficile","Non","Oui, pour dépanner / très ponctuellement",0,0,0,NA,73,"MENA (Maghreb +Arabie saoudite, etc.)","MENA (Maghreb +Arabie saoudite, etc.)",NA,0,1,"High knowledge",1,"Mid","Lower","Low coverage","Bac + 3",2021,"CRETEIL",200054781,"METROPOLE DU GRAND PARIS",94,"VAL DE MARNE",36.2,0.8,36.9,2.8,7.7,2,9.6,49.4,59.1,1,0,0,1,0,0,"Intend and already has used ECEC","2000-2500","2500-3000",0,"No","2 or more","No","No",NA,"Yes","Don't know",0.5,"No",NA,NA,NA,NA,NA,NA,NA
